Date,Volume(V µg/m3)
15/08/2018,6
16/08/2018,
17/08/2018,
18/08/2018,
19/08/2018,
20/08/2018,
21/08/2018,4
22/08/2018,4
23/08/2018,5
24/08/2018,4
25/08/2018,
26/08/2018,7
27/08/2018,4
28/08/2018,6
29/08/2018,6
30/08/2018,8
31/08/2018,9
01/09/2018,13
02/09/2018,14
03/09/2018,6
04/09/2018,5
05/09/2018,10
06/09/2018,
07/09/2018,
08/09/2018,
09/09/2018,
10/09/2018,
11/09/2018,
12/09/2018,
13/09/2018,
14/09/2018,4
15/09/2018,5
16/09/2018,5
17/09/2018,7
18/09/2018,8
19/09/2018,6
20/09/2018,6
21/09/2018,3
22/09/2018,5
23/09/2018,4
24/09/2018,4
25/09/2018,6
26/09/2018,4
27/09/2018,5
28/09/2018,4
29/09/2018,6
30/09/2018,5
01/10/2018,6
02/10/2018,7
03/10/2018,6
04/10/2018,5
05/10/2018,5
06/10/2018,6
07/10/2018,6
08/10/2018,6
09/10/2018,6
10/10/2018,24
11/10/2018,23
12/10/2018,7
13/10/2018,7
14/10/2018,6
15/10/2018,10
16/10/2018,11
17/10/2018,7
18/10/2018,10
19/10/2018,13
20/10/2018,8
21/10/2018,4
22/10/2018,7
23/10/2018,6
24/10/2018,5
25/10/2018,4
26/10/2018,4
27/10/2018,4
28/10/2018,4
29/10/2018,7
30/10/2018,6
31/10/2018,14
01/11/2018,11
02/11/2018,8
03/11/2018,12
04/11/2018,18
05/11/2018,47
06/11/2018,42
07/11/2018,9
08/11/2018,9
09/11/2018,12
10/11/2018,10
11/11/2018,13
12/11/2018,10
13/11/2018,6
14/11/2018,8
15/11/2018,20
16/11/2018,28
17/11/2018,21
18/11/2018,16
19/11/2018,6
20/11/2018,4
21/11/2018,14
22/11/2018,28
23/11/2018,25
24/11/2018,14
25/11/2018,4
26/11/2018,7
27/11/2018,13
28/11/2018,11
29/11/2018,7
30/11/2018,6
01/12/2018,11
02/12/2018,14
03/12/2018,7
04/12/2018,19
05/12/2018,22
06/12/2018,11
07/12/2018,7
08/12/2018,5
09/12/2018,4
10/12/2018,10
11/12/2018,28
12/12/2018,19
13/12/2018,11
14/12/2018,15
15/12/2018,18
16/12/2018,10
17/12/2018,16
18/12/2018,11
19/12/2018,15
20/12/2018,14
21/12/2018,11
22/12/2018,6
23/12/2018,7
24/12/2018,9
25/12/2018,13
26/12/2018,16
27/12/2018,13
28/12/2018,10
29/12/2018,5
30/12/2018,6
31/12/2018,7
01/01/2019,5
02/01/2019,7
03/01/2019,11
04/01/2019,17
05/01/2019,13
06/01/2019,13
07/01/2019,7
08/01/2019,6
09/01/2019,6
10/01/2019,11
11/01/2019,9
12/01/2019,5
13/01/2019,6
14/01/2019,6
15/01/2019,6
16/01/2019,5
17/01/2019,6
18/01/2019,15
19/01/2019,25
20/01/2019,22
21/01/2019,16
22/01/2019,8
23/01/2019,12
24/01/2019,20
25/01/2019,8
26/01/2019,7
27/01/2019,3
28/01/2019,5
29/01/2019,9
30/01/2019,7
31/01/2019,16
01/02/2019,9
02/02/2019,7
03/02/2019,9
04/02/2019,6
05/02/2019,20
06/02/2019,12
07/02/2019,
08/02/2019,
09/02/2019,
10/02/2019,
11/02/2019,
12/02/2019,9
13/02/2019,11
14/02/2019,23
15/02/2019,29
16/02/2019,11
17/02/2019,17
18/02/2019,12
19/02/2019,8
20/02/2019,7
21/02/2019,8
22/02/2019,23
23/02/2019,37
24/02/2019,28
25/02/2019,46
26/02/2019,36
27/02/2019,42
28/02/2019,22
01/03/2019,21
02/03/2019,15
03/03/2019,7
04/03/2019,4
05/03/2019,7
06/03/2019,
07/03/2019,
08/03/2019,7
09/03/2019,5
10/03/2019,6
11/03/2019,6
12/03/2019,6
13/03/2019,6
14/03/2019,5
15/03/2019,6
16/03/2019,5
17/03/2019,3
18/03/2019,7
19/03/2019,8
20/03/2019,10
21/03/2019,9
22/03/2019,11
23/03/2019,7
24/03/2019,6
25/03/2019,7
26/03/2019,7
27/03/2019,11
28/03/2019,13
29/03/2019,16
30/03/2019,11
31/03/2019,6
01/04/2019,12
02/04/2019,5
03/04/2019,5
04/04/2019,9
05/04/2019,26
06/04/2019,19
07/04/2019,27
08/04/2019,16
09/04/2019,10
10/04/2019,7
11/04/2019,11
12/04/2019,9
13/04/2019,7
14/04/2019,7
15/04/2019,17
16/04/2019,19
17/04/2019,18
18/04/2019,25
19/04/2019,24
20/04/2019,28
21/04/2019,26
22/04/2019,35
23/04/2019,23
24/04/2019,32
25/04/2019,11
26/04/2019,11
27/04/2019,8
28/04/2019,9
29/04/2019,13
30/04/2019,23
01/05/2019,16
02/05/2019,7
03/05/2019,5
04/05/2019,5
05/05/2019,6
06/05/2019,5
07/05/2019,5
08/05/2019,11
09/05/2019,6
10/05/2019,6
11/05/2019,8
12/05/2019,9
13/05/2019,11
14/05/2019,16
15/05/2019,19
16/05/2019,9
17/05/2019,10
18/05/2019,9
19/05/2019,10
20/05/2019,9
21/05/2019,5
22/05/2019,4
23/05/2019,5
24/05/2019,5
25/05/2019,6
26/05/2019,4
27/05/2019,3
28/05/2019,5
29/05/2019,9
30/05/2019,5
31/05/2019,5
01/06/2019,8
02/06/2019,9
03/06/2019,8
04/06/2019,6
05/06/2019,6
06/06/2019,6
