Date,Volume(V µg/m3)
04/08/2019,50
05/08/2019,42
06/08/2019,50
07/08/2019,49
08/08/2019,64
09/08/2019,42
10/08/2019,51
11/08/2019,55
12/08/2019,52
13/08/2019,51
14/08/2019,14
15/08/2019,52
16/08/2019,11
17/08/2019,54
18/08/2019,53
19/08/2019,
20/08/2019,
21/08/2019,32
22/08/2019,39
23/08/2019,37
24/08/2019,52
25/08/2019,99
26/08/2019,75
27/08/2019,52
28/08/2019,36
29/08/2019,45
30/08/2019,49
31/08/2019,56
01/09/2019,44
02/09/2019,44
03/09/2019,45
04/09/2019,44
05/09/2019,50
06/09/2019,42
07/09/2019,46
08/09/2019,42
09/09/2019,11
10/09/2019,30
11/09/2019,38
12/09/2019,29
13/09/2019,41
14/09/2019,40
15/09/2019,51
16/09/2019,44
17/09/2019,39
18/09/2019,23
19/09/2019,21
20/09/2019,22
21/09/2019,43
22/09/2019,21
23/09/2019,24
24/09/2019,12
25/09/2019,12
26/09/2019,30
27/09/2019,35
28/09/2019,34
29/09/2019,49
30/09/2019,29
01/10/2019,51
02/10/2019,30
03/10/2019,12
04/10/2019,29
05/10/2019,26
06/10/2019,34
07/10/2019,18
08/10/2019,41
09/10/2019,35
10/10/2019,42
11/10/2019,43
12/10/2019,23
13/10/2019,30
14/10/2019,23
15/10/2019,33
16/10/2019,19
17/10/2019,14
18/10/2019,24
19/10/2019,29
20/10/2019,49
21/10/2019,29
22/10/2019,15
23/10/2019,17
24/10/2019,11
25/10/2019,19
26/10/2019,35
27/10/2019,49
28/10/2019,30
29/10/2019,48
30/10/2019,40
31/10/2019,23
01/11/2019,4
02/11/2019,28
03/11/2019,17
04/11/2019,13
05/11/2019,38
06/11/2019,12
07/11/2019,46
08/11/2019,41
09/11/2019,20
10/11/2019,31
11/11/2019,39
12/11/2019,44
13/11/2019,16
14/11/2019,51
15/11/2019,44
16/11/2019,29
17/11/2019,27
18/11/2019,30
19/11/2019,4
20/11/2019,13
21/11/2019,19
22/11/2019,24
23/11/2019,20
24/11/2019,7
25/11/2019,8
26/11/2019,5
27/11/2019,25
28/11/2019,32
29/11/2019,24
30/11/2019,8
01/12/2019,27
02/12/2019,32
03/12/2019,32
04/12/2019,19
05/12/2019,41
06/12/2019,49
07/12/2019,47
08/12/2019,69
09/12/2019,37
10/12/2019,37
11/12/2019,31
12/12/2019,17
13/12/2019,44
14/12/2019,60
15/12/2019,51
16/12/2019,28
17/12/2019,3
18/12/2019,12
19/12/2019,26
20/12/2019,28
21/12/2019,15
22/12/2019,21
23/12/2019,45
24/12/2019,31
25/12/2019,38
26/12/2019,31
27/12/2019,14
28/12/2019,5
29/12/2019,17
30/12/2019,31
31/12/2019,20
01/01/2020,16
02/01/2020,44
03/01/2020,54
04/01/2020,58
05/01/2020,52
06/01/2020,57
07/01/2020,47
08/01/2020,39
09/01/2020,44
10/01/2020,38
11/01/2020,67
12/01/2020,42
13/01/2020,42
14/01/2020,48
15/01/2020,50
16/01/2020,41
17/01/2020,43
18/01/2020,54
19/01/2020,37
20/01/2020,38
21/01/2020,40
22/01/2020,24
23/01/2020,33
24/01/2020,49
25/01/2020,28
26/01/2020,26
27/01/2020,26
28/01/2020,54
29/01/2020,59
30/01/2020,51
31/01/2020,53
01/02/2020,68
02/02/2020,48
03/02/2020,67
04/02/2020,51
05/02/2020,18
06/02/2020,
07/02/2020,
08/02/2020,
09/02/2020,
10/02/2020,
11/02/2020,70
12/02/2020,51
13/02/2020,36
14/02/2020,26
15/02/2020,47
16/02/2020,79
17/02/2020,66
18/02/2020,62
19/02/2020,54
20/02/2020,69
21/02/2020,63
22/02/2020,75
23/02/2020,62
24/02/2020,51
25/02/2020,56
26/02/2020,55
27/02/2020,53
28/02/2020,31
29/02/2020,66
01/03/2020,66
02/03/2020,
03/03/2020,
04/03/2020,26
05/03/2020,33
06/03/2020,34
07/03/2020,56
08/03/2020,67
09/03/2020,55
10/03/2020,59
11/03/2020,61
12/03/2020,67
13/03/2020,59
14/03/2020,47
15/03/2020,75
16/03/2020,58
17/03/2020,60
18/03/2020,57
19/03/2020,48
20/03/2020,58
21/03/2020,65
22/03/2020,57
23/03/2020,36
24/03/2020,32
